reviews ,overall_rating,review_date,trip_type,room_rating,service_rating,location_rating,platform
"The Short Version: Staying at Hotel Turmeric was a bit of a mixed bag. The bed was comfortable, and the breakfast was great, which I really liked. But I got hit with an unexpected extra fee when I checked in because the booking wasn't clear, and they were missing some basics I'd expect, like a hand shower in the bathroom and, importantly for me, any way to charge my electric car. So, even with the good bits, it ended up feeling too expensive for what I got.
Longer one
Stay on May 1 2025, price mentioned for one day",3,Jun-25,family,3,3,4,google
"Memorable stay at Turmeric Hotel. It truly felt royal and luxurious. The rooms were huge and classy. The morning breakfast was awesome, with a wide variety of options and amazing taste. Mr. Karthik, the manager, was very friendly and approachable. Thank you for the royal treat",5,Jun-25,couple,5,5,5,google
"Rating 4 star due to the choices of hotels available in Erode. The hotel is fine to have a overnight stay. Staff is professional, rooms are big but not comfortable, the ac switchs off once there is power cut and you have to wake up in night to switch that again and again. Amenities in rooms are very limited. Food is just fine",4,May-25,business,4,4,4,google
"Room is spacious and well designed. Cleanliness shall be better and have space to improve further. Restaurant is really good with clean and tasty food varieties. Service staffs are nice to guests, especially Gayuthri at restaurant served well with her nice way of approach. Overall good place to stay.",5,Apr-25,family,4,5,5,google
"Hotel Turmeric stands out as a gem in the heart of Thindal, Erode, offering a delightful blend of modern ambiance and authentic South Indian hospitality. The moment you step in, you're greeted with a clean and tastefully designed interior that exudes warmth. Whether you're visiting for a quick lunch or a family dinner, the peaceful setting and courteous staff make it a memorable dining experience.
The food at Hotel Turmeric is a true celebration of flavor. Their menu features a wide range of vegetarian and non-vegetarian dishes, each prepared with a focus on freshness and quality. Signature items like their biryanis, dosas, and flavorful gravies leave a lasting impression. The presentation of the food is elegant, and portion sizes are generous, making it excellent value for money.
What truly elevates Hotel Turmeric is their commitment to customer satisfaction. The staff are polite, attentive, and quick to accommodate special requests. The restaurant maintains high standards of hygiene and ensures a comfortable experience for every guest. Whether you're a local or a traveler passing through Erode, Hotel Turmeric is a must-visit destination for an unforgettable meal.",5,May-25,couple,5,5,5,google
"A great pitstop between Coimbatore and Bengaluru. We visited their restaurant and even the North Indian cuisine was delectably prepared. We also loved the overall cleanliness, decor and facilities (extremely clean washrooms). Overall, a great experience :) Bonus points to the sweet staff! Thank you",5,Jun-25,,5,5,5,google
the booking done for a friend at the presidential suite has left us very sore after a very poor stay and experience with clogged bathroom drains and a very nonchalant hospitality. Even much bigger corporates such as iHg & Taj would have bent over backwards at such problems. Would not recommend,1,May-25,couple,1,1,2,google
"Can do much much better in terms of hospitality. I had a visitor to see me in the hotel and they considered the person as an additional pax and charged me for the same despite that person not staying at the hotel. Requested room service for cleaning at night 12 because we had smell issues in the washroom but turns out they don’t assist at night for cleaning, in this case no one bothered to even attend my call and at least let me know no one is available.",1,Apr-25,family,2,1,4,google
"Hotel was spacious, neat & clean & well maintained.
The price charged is on much higher side & was not expected at a place like Erode.
The price charged per day was 7500/- per day in which we are getting good hotels like 4*/5* at Metro with lots of facilities like Spa, buffee dinner etc",3,Feb-25,business,3,3,4,google
"Me and my friends booked rooms here at Turmeric hotel only after looking at the roof top swimming pool. But, post booking, We are unable to use the Pool even once..
The hotel management illegally, has let out the Swimming Pool access for outsiders for rental purposes to get more money, it's become their side business.
Many outside People are using the Swimming pool for their coaching/training purposes.
When would people like us, who paid a lot of money and booked rooms for friends and family would really start to use the Swimming pool then ?
The stupid, Turmeric hotel is making a side business, which I feel is not correct.
If the hotel management doesn't agree, Then I will post more video proofs..",1,Jun-25,friends,1,2,1,google
"Awsome place to stay! It looks brand new with very neat surroundings and rooms. The location is not in the centre of the down, at the same time not too far also. The morning breakfast was awsome!. Rooms had ample space. Taking one star down since Tea was charged way more costiler than other hotels",4,May-25,solo,5,4,5,google
"Hi I had heard some hammering noise at mid night and also vehicle running noise thru windows. Request you seal the windows.
Otherwise all are excellent.. am always preferring Turmeric only.
Thankyou",5,Apr-25,solo,5,5,5,google
"This property is located in a less busy side of Erode and is nicely maintained. We found the hotel very clean, spacious room and has good parking space. Recommend this if your travel requires travel towards Sathyamangalam, Bannari, Bhavani Sagar and places around. Wish they had a pure vegetarian restaurant too. This is why my overall rating was 4Star.",5,Feb-25,family,5,5,5,google
"My parents' recent stay at your Hotel was nothing short of a nightmare, primarily due to the appalling behavior of the maintenance staff. What was supposed to be a relaxing visit turned into a distressing ordeal, and I am utterly disgusted by the way they were treated.
Upon arrival, my parents discovered a significant issue with the air conditioning in their room. After several calls to the front desk, a maintenance worker finally arrived. His name is Vivek anandhan .This is where the problems escalated. Instead of addressing the issue professionally, the staff member was dismissive and condescending. He spoke to my elderly parents in a rude and impatient manner, completely disregarding their concerns.The air conditioning remained faulty throughout their stay, and the maintenance worker's unacceptable behavior was intolerable.This experience has left my parents deeply upset and frustrated.His behavior has ruined my parents' vacation.",1,Apr-25,family,2,2,2,google
All looks fine .......but management here is very cunning and also if any problem comes they will try to escape by showing thier manpower ....if going with family pls don't use the same hotel ......not safe during the stay ....if people employed here are g o o n d a s ....how would u expect to have a pleasant full stay .....in erode they think then can do anything they want .....but without ethics and honesty running a hotel is like a cheap business,1,May-25,solo,1,1,1,google
Stayed for a night in Room 402. Room was very clean and well appointed.Unfortunately for all the hype room service was available only after 7.30am and being an early riser couldn’t get a decent cup of coffee.This needs attention when you charge ?6000 for the room plus taxes.,4,Jun-25,family,4,3,4,google
They have one of the best fine dining restaurant in erode. Food here are amazing . I went there for a special occasion and they made it so memorable. Special mention to Chef Mani who made the amazing food.,5,Feb-25,solo,5,5,5,google
If you’re looking out for a classy and a royal stay Hotel turmeric is wonderful and I recommend it! The complementary breakfast is excellent and the wide variety options really satisfies our taste buds in the morning. There is a swimming pool on the 4th floor which has timings 6AM to 6PM and can be accessed within this time. There is also a gym with the same timings. The service is good and the staff are courteous. Thindal Murugan temple is in close proximity and the famous Arthanareeswarar temple in Tiruchengode is about 25 km from here.,5,Feb-25,friends,5,5,5,google
"Terrible Experience – Avoid This Hotel
We had an awful experience at this hotel. After parking our car, we discovered it was damaged. Despite showing clear evidence from the basement CCTV footage, the hotel staff refused to take any responsibility. They seemed to have an underhanded agreement with the individual responsible for the damage, dismissing our concerns by saying, ""Parking is not our responsibility.""
This hotel is poorly managed and lacks basic accountability. I strongly advise against visiting this place.",1,Jan-25,family,1,1,1,google
When first stayed there was wifi connection to access OTT but now nothing is accessible.,2,Jan-25,solo,5,1,5,google
"Worst experience everrrrrr
We had an extremely disappointing experience at Hotel Turmeric. My vehicle was parked in their parking lot during my stay, but overnight, one of their regular BNI employees, Jayavel Rash, drove his car in the basement and hit the front of our car When I informed the hotel management, they not only ignored the damage but also sided with the employee, claiming they regularly conduct meetings at the hotel.",1,Jan-25,friends,1,1,1,google
Excellent newer hotel in Erode. Well appointed rooms and friendly service. Very efficient front desk - the two women - Bhumika and her colleague were exceptional.,5,Dec-24,holiday,5,5,5,google
"Food was good and other than that it was poor. Went here to have dinner, from start to end it was really a bitter experience in terms of service. Proper training for the people should given to improve the experience of the visitors. There was power cut and the entire dining space went dark for 20-30 seconds. People were disconnected between them and even with the visitors. A hotel with a class will not have these basic flaws. Turmeric didn’t set a class we were expecting. It’s just a usual hotel as like others.",1,Dec-24,,3,1,5,google
"Super clean, respectful staff, very good service and spacious. I liked my stay very much and wish to thank staff who made it enjoyable.",5,Jan-25,,5,5,5,google
Recently had family dinner at the restaurant in turmeric. Very good ambience. Relaxing and soothing place. Food was very tasty. Menu options are good.,5,May-25,family,5,5,5,google
The food tastes very good. Service is also very good. The bathrooms are very clean and neat.,4,Jun-25,family,5,4,5,google
Everything about this hotel is very very good. From the lobby to the restaurant to the rooms and very well behaved staff. Absolutely loved it,5,Apr-25,solo,5,5,5,google
Went fot lunch with family. Very cordial and excellent service. Food is cooked to perfection.,5,Apr-25,family,5,5,5,google
This rating only for mano prakash... He is very gentle and friendly ... very good service provider... Keep rocking da thampi.. i think he is ah traine but like ah well experienced talking.. especially way of treating and attitude was very professional ... I'm impressed,5,Feb-25,friends,5,5,5,google
"The new Turmeric Hotel is truly impressive. The architectural design stands out with a modern yet elegant aesthetic, showcasing both creativity and attention to detail. The hall's arrangement is thoughtfully planned, offering a spacious and welcoming atmosphere. Whether for events or casual gatherings, the layout ensures a seamless experience, and the overall ambiance reflects the hotel's commitment to quality and comfort",5,Feb-25,solo,5,5,5,google
Excellent customer service. Well maintained rooms. Complimentary breakfast is quality oriented. Keep up the good work,5,Feb-25,solo,5,5,5,google
"Great business class hotel! Food was great, rooms were clean. Rates could be but lower. Highly recommend.",5,Jan-25,solo,5,5,5,google
"Ohhh man!! I could not believe we have hotels like these in Erode.
Amazing place to stay, it’s big, very spacious, decent and good staff. Staff tries to help you with a smile.
From the reception to the restaurant staff to the house keeping. All of them treat customers in the best way. They make you get the feel that “you are worth serving”, they give you the importance.
The rooms are good, spacious, rest rooms are very good. Very neat place.
The morning complimentary buffet was amazing. Good varieties, and all items were tasty.
I would for sure opt this place when I visit next time or every other time.",5,Dec-24,solo,5,5,5,google
"From the moment I entered the Hotel Turmeric ,after a very tiresome journey, I felt at ease with the calm and quiet atmosphere within the we'll designed space.The staff were quiet welcoming and courteous. The room I was introduced to for my stay was very spacious and appealing. I was very comfortable and satisfied. The amenities for the specific price range of the hotel was abundant. The breakfast was bountiful and tasty.
I would recommend this Hotel to anyone passing through erode.",5,Jun-24,solo,5,5,5,google
Brand new hotel with spacious rooms. This is one of the best hotels in the city. Decent breakfast with varieties of food which is good. Plenty of car parking is available. Room tariffs are little but high considering the city.,5,Nov-24,,5,4,5,google
"Stayed in this hotel for a day. The hotel ambience is serene and peaceful. The room was very spacious, plush and comfortable. The food was very good. The service overall was below par and the service in the restaurant and reception needs improvement. Proper training to the staff is required which would elevate the overall experience. Would recommend the hotel for the rooms, food and location.",4,Jun-24,family,5,4,5,google
"USA citizen, first time to India.
Hotel was very clean and quiet. Rooms were spacious and beds were comfortable.",5,Jun-24,solo,4,5,5,google
"Nice experience here at Hotel Turmeric Erode.
Staffs are well behaved and welcoming.Takes care of every small requests which is possible on their side. Sharad attended us nicely right away from check in till checkout. Got interconnected room on request since i was with my parents. Kudos to team for this.",5,Aug-24,family,5,5,5,google
"I recently stayed at TURMERIC in Erode City and had a wonderful experience. The hotel offers clean, comfortable rooms with modern amenities. The staff were exceptionally friendly and attentive, ensuring all our needs were met. The on-site restaurant served delicious local cuisine, adding to the overall enjoyment of our stay. Conveniently located in the heart of the city, TURMERIC is an excellent choice for both business and leisure travelers. Highly recommended!",5,Jun-25,solo,5,5,5,google
"We went here to have dinner with our family, the service level was literally very worst and it's not really up to the mark. Spoiled our entire mood and the behavior of people was not pleasent at all. At some point we thought of going out even without having our food. ",1,Jun-24,family,4,1,4,google
"One of the best hotels in erode city. Rooms are very clean and specious.
Food taste and service was good.
We enjoyed a lot in hotel turmeric. Very nice experience.",5,Dec-24,family,5,5,5,google
Best hotel in erode have stayed twice at this place its simple wonderful experience,5,Jun-25,couple,5,5,5,google
It was awesome ,5,Dec-24,family,5,5,5,google
Thank you so much to Ms.Gayathri for Great service and care. Her smile and service differentiated our stay,5,Apr-25,,5,5,5,google
"In my knowledge its the more premium hotel in erode,the location is best,near thindel,its the centre of erode,and having less traffic as well",4,Apr-25,family,4,3,4,google
"Visited on a business trip. Very caring staff, routinely checked in about our comfort and feedback. The restaurant has a good range of cuisine and I would give the food 3/5. The breakfast buffet is very good, and the Malaysian Paneer on the menu is delicious.",4,Jun-24,business,4,4,4,google
Attended a function tere. Food tastes awrsome,5,Jun-25,family,5,5,5,google
"Friendly staff and very good room service ,Esravel is the best person in the room services",5,Apr-25,,5,5,4,google
They have two restaurants one is thenamam that is where we went. The food is average and the price did not justify the quality and quantity. The service is very poor. I had to wait 30 minutes to order food and food arrived after 40 minutes. It seems like short staffed only one person taking order on a busy day. I would think twice before visit this restaurant again for sure.,3,Apr-25,family,3,3,4,google
"rooms are very near and clean... hygienic food, 24 hours safety and secure, buffet breakfast very delicious",5,Jan-25,family,5,5,5,google
"Awesome stay, good and professional executives.
Really enjoyed during my stay",4,Mar-25,family,5,5,5,google
Rooms are good. But food is too hot.,5,Jun-25,solo,5,4,5,google
"I thoroughly enjoyed my stay—the staff were exceptionally polite and helpful. The food was excellent, and the unbeatable price made it even better. Kudos to the team!",5,Dec-24,solo,5,5,5,google
"Good interiors and room. Average checkin...no valet, had to carry the luggage ourselves to the room. Bath area does not have a glass door...looks like they forgot to fix one. Ordered for ice cream and they forgot to send it and had to remind again after 25 mins. Need lot of improvement in service. Waiting for a good breakfast atleast.",3,Jun-24,solo,3,3,5,google
Best hotel in Erode food is good rooms are very nice,5,Jun-25,family,5,5,5,google
"The only reason we kept coming back to the restaurant, was the good food. But the service is poor. Especially the manager in the restaurant is so arrogant and rude. No manners whatsoever to talk to customers. Will never visit again until that manager leaves.",1,Apr-25,solo,1,1,1,google
"Overall good services by sobin ,jeeva,dhanush,mano food satisfied thank you so much",4,Feb-25,solo,5,5,5,google
Ambiance was too good.... Rooms are very spacious and neat & clean... Amenities are perfect,5,Jan-25,solo,5,5,5,google
Had a good stay for affordable price . Overall I had good experience and had food from there for affordable price. The room was very neat and clean . The staff was also very nice.,5,Jan-25,family,5,5,4,google
Excellent and Friendly service at the restaurant … The Food was not tasty and insipid. Moreover the portions are extremely small and no value for money . Will not visit the restaurant again but again I may just go for a tea because of the lovely warm staff in the restaurant,3,Nov-24,solo,3,3,4,google
New property. Luxurious rooms. Good variety of veg and non veg buffet breakfast. Overall comfortable stay I had.,5,Oct-24,solo,5,5,5,google
"Hotel is nice and new but the staffs are not competent enough. Very lethargic and in their own world. I couldn’t login to my room TV internet then front desk said they will reset the password and let me know. Called once no response called twice no response and called thrice no response. I gave up and thought of taking a nap. Just with in 30mins after check-in, room service guy kept ringing the door bell and asked if we need room cleaning?
Room intercom doesn’t have any stickers with which number to call where?
No hair dryer in the bathroom.",3,May-25,solo,4,2,5,google
Room is very comfortable Front desk staff very friendly and helpful Person,5,Jan-25,business,5,4,5,google
Staff is v v nice specially the front office lady Bhoomika and the Shef Mohammad,5,Feb-25,solo,5,5,5,google
The great place to spent time with family,5,Feb-25,family,5,5,5,google
"Awesome place, for corporate stay and meetings,rooms were spacious, great ambiance",5,Feb-25,solo,5,5,5,google
Awesome facilities and tasty healthy breakfast,5,Jun-25,solo,5,5,5,google
Orders get little delayed when there is crowd. Food was good,4,Mar-25,solo,4,4,5,google
"A very luxurious hotel. Right from the check-in to the check out, all the services are very good. I have utilized the gym, and it is also good. The checkout is also quick.",4,Jun-25,friends,4,4,4,google
Water in the wash basin didn’t drain out quickly. Hot water in the bathroom was not hot enough. Other than that it was good service.,4,Apr-25,business,4,4,4,google
"Never expected such a metro kind of experience in a tier 3 town like Erode. Everything was perfect. The only small challenge I felt was, when the restaurant is full, the team is unable to serve promptly.",5,Jun-24,solo,5,5,5,google
"Clean, modern, new, comfortable, hotel with a wonderful restaurant and very helpful staff. Great location and ample, safe parking also available. Would definitely recommend.",5,Jul-24,solo,5,5,5,google
"Amazing Hotel to stay..Slightly away from the city. Good parking space, Good food and the breakfast buffet is excellent..a mix of South Indian and continental",5,Apr-25,couple,5,5,5,google
"Hospitality thy name is TURMERIC!
Service with a smile from the supportive staff created very good memories at this boutique luxurious hotel...an unexpected experience at erode shirt stay",5,Nov-24,couple,5,5,5,google
Visiting from US and traveled to Erode for business. Rooms were comfortable and clean. Staff was competent. Restaurant was good. Would stay here again.,4,Oct-24,solo,4,4,4,google
Very nicely decorated restaurant but service needs to be improved greatly. Need more professional staff to do justice to the upscale restaurant. Dinner shouldn't take 3 hours to complete.,3,Oct-24,solo,4,3,5,google
"Very spacious and comfortable stay.. Breakfast was good.. Néw hotel, clean with good bed.. Definitely recommend for a stay over",5,Aug-24,couple,5,5,5,google
The reception hall is good and the rooms are very good .,4,Jun-25,business,4,4,4,google
"Nice hospitality with big rooms. Front desk and room service team are cooperative. I strongly recommend for business travel, family trips",5,Apr-25,business,5,4,4,google
Everything about this hotel is very very good. From the lobby to the restaurant to the rooms and very well behaved staff. Absolutely loved it,5,Apr-25,solo,5,5,5,google
Staff here are rowdies pls be careful they will mess with ur peace of mind while staying,1,Mar-25,solo,1,1,1,google
Great place to stay enjoyed a lot the staffs were friendly rooms were very comfortable food was awesome,5,Oct-24,family,5,5,5,google
"First thing,the accommodation very neat.They maintained good housekeeping.The breakfast very nice.Staff also very friendly especially Mr Vinod and Mr Suresh.Overally best hotel and value for money.",5,Jun-24,business,5,5,5,google
"Its a new hotel, rooms were clean and neat. But food is very average and not worthy for the money",3,Jun-24,friends,3,2,3,google
Very very bad experience from management calls. Much disturbing to friends who came to meet us in room. Spoiled everyone mindset by poor management,1,Jun-24,friends,1,1,1,google
Service good responsible very very good food ultimate goo,5,Jun-25,family,5,5,5,google
"While being in a business trip, I had a very nice stay at this hotel. Very nice staff and the food was delicious my compliment to the chef",4,Jul-24,solo,4,4,5,google
Such a posh hotel with live spiders in room. There were close to 5 spiders in room.,1,Oct-24,solo,1,4,4,google
The restaurant in this hotel is really good. The service is excellent.,5,Nov-24,family,5,5,5,google
Awesome place... spacious and neat room. Clean bathroom. Good customer service at an affordable price,5,Jun-24,family,5,5,5,google
Hotel staff without ethics and honesty ....will do anything they want,1,Nov-24,solo,1,1,1,google
Room was good and spacious.,4,Jun-25,solo,5,4,4,google
"One of the best hotels I have stayed. Hospitality, services and food top notch. Bravo",5,Jun-24,business,5,5,5,google
Harrasement for families .....worst hotel ....misleading pictures ....no parking facilities .....,1,Apr-25,family,1,1,1,google
taste of the food is a big question mark and that too for the pricing,4,Jun-24,family,4,3,4,google
Plz lookafter to improve food taste and quality,4,Oct-24,family,4,4,4,google
"I am attending expo
very nice place",5,Oct-24,family,4,4,4,google
Comfortable and a well maintained hotel,5,Nov-24,family,5,4,5,google
Worst people no disciple,1,Feb-25,family,1,1,1,google
Rooms are expensive for the facility provided.,3,Feb-25,business,4,3,4,google
Ambient good,4,Feb-25,business,4,4,4,google
Restaurant is good.,5,Apr-25,family,4,4,4,google
We went to restaurants Wrost service bed service,1,Jun-24,family,1,1,1,google
Meeting hall was great ,4,Nov-24,solo,4,4,4,google
The Dinning Hall With Banquet Hall Is Too Small,5,Nov-24,friends,5,5,5,google
"It was a pleasent stay at Hotel Turmeric, Erode.",5,Apr-25,solo,5,5,5,google
good to have functions..... get togethers....,5,Jun-24,solo,5,5,5,google
Calm restaurant and tasty food...,5,Nov-24,family,4,5,5,google
Newly built Hotel and easy to access.,4,Jul-24,family,4,4,4,google
Good choice in erode… new property .,5,Aug-24,family,5,4,5,google
Well designed hotel at Erode,5,Aug-24,family,5,4,5,google
Not focus in rest room,2,Aug-24,family,2,3,4,google
Becoming a good business hotel .,4,Oct-24,solo,4,3,4,google
Food taste was not that much impressive,5,Oct-24,family,4,3,4,google
Your contact number is switched off…,3,Jul-24,solo,3,3,3,google
Nice stay,5,Oct-24,solo,5,5,5,google
Good.,4,Nov-24,friends,4,4,4,google
Excellent,4,Nov-24,business,4,4,4,google
Good service,5,Oct-24,solo,5,5,5,google
Nice Hotel in Erode,4,Jul-24,solo,4,4,4,google
Highly recommended,5,Jun-24,solo,5,5,5,google
Bit costly. Can try once especially appam.,3,Jun-24,solo,4,3,3,google
" We chose this hotel for its swimming pool. When checking in, the receptionist gives us his opening hours: from 6am to 6pm. Once in the room, we go for a swim and... The swimming pool is closed! The same receptionist confirmed to me that the swimming pool was closed for maintenance for several days, even though he had not told us anything at check-in.
Very disappointed
Much too expensive given the lack of service.",3,Nov-24,couple,5,2,3,google
